,Vacancies,Companies,Deadlines,Locations,Individual Pages
33,Junior Network administrator,ACBA-CREDIT AGRICOLE BANK CJSC,29 July 2020,Yerevan,https://staff.am/en/junior-network-administrator-1
34,Փաստաբան,Partner Company,29 July 2020,Yerevan,https://staff.am/en/pastaban-14
35,Специалист-Кассир,Ameriabank CJSC,12 July 2020,Yerevan,https://staff.am/en/specialist-kassir-6
36,Sr. Product Manager - Marketing,ServiceTitan,29 July 2020,Yerevan,https://staff.am/en/sr-product-manager-marketing
37,Accountant-cashier,AraratBank OJSC,29 July 2020,Yerevan,https://staff.am/en/accountant-cashier-6
38,PHP Developer,Studio One,29 July 2020,Yerevan,https://staff.am/en/php-developer-202
39,account holder,ՍՎԵՏԱ ՍՊԸ,29 July 2020,Yerevan,https://staff.am/en/account-holder
40,Intermediate Front End Developer (coder),Studio One,29 July 2020,Yerevan,https://staff.am/en/front-end-developer-coder-senior-and-intermediate
41,Senior Software Engineer (Security Compliance),ServiceTitan,29 July 2020,Yerevan,https://staff.am/en/senior-software-engineer-security-compliance
42,System Administrator/DevOps,Studio One,29 July 2020,Yerevan,https://staff.am/en/system-administratordevops-7
43,Accountant,WEISSCO LLC,29 July 2020,Yerevan,https://staff.am/en/accountant-470
44,Helpdesk Technician,DISQO,29 July 2020,Yerevan,https://staff.am/en/helpdesk-technician-9
45,React.js Developer - SpringBuilder,SoftConstruct,29 July 2020,Yerevan,https://staff.am/en/reactjs-developer-springbuilder
46,QA Engineer - SpringBuilder,SoftConstruct,29 July 2020,Yerevan,https://staff.am/en/qa-engineer-springbuilder
47,Manual QA Tester,ServiceTitan,29 July 2020,Yerevan,https://staff.am/en/manual-qa-tester-27
48,Ծրագրերի (ֆոնդհայթայթման) պատասխանատու,The Communities Association of Armenia,08 July 2020,Yerevan,https://staff.am/en/cragreri-fondhaytaytman-patasxanatu
49,Sports Web Designer,Adjarabet.am,15 July 2020,Yerevan,https://staff.am/en/sports-web-designer-1
50,Research Analyst,Adjarabet.am,15 July 2020,Yerevan,https://staff.am/en/research-analyst-13
51,Ծրագրերի մշակման պատասխանատու,The Communities Association of Armenia,08 July 2020,Yerevan,https://staff.am/en/cragreri-msakman-patasxanatu
52,Հարկային հաշվառման մասնագետ,Veolia Armenia,29 July 2020,Yerevan,https://staff.am/en/harkayin-hasvarman-masnaget
53,Մանկավարժ / «Երևանում Սիրիահայ ընտանիքների սոցիալ-տնտեսական ինտեգրումը» ծրագիր,SOS Children's Villages Armenia,15 July 2020,Yerevan,https://staff.am/en/mankavarz-erevanum-siriahay-ntanikneri-social-tntesakan-integrum-cragir-3
54,Խոհարար / «Երևանում Սիրիահայ ընտանիքների սոցիալ-տնտեսական ինտեգրումը» ծրագիր,SOS Children's Villages Armenia,15 July 2020,Yerevan,https://staff.am/en/xoharar-erevanum-siriahay-ntanikneri-social-tntesakan-integrum-cragir-2
55,Marketing Specialist ,AAB Construction,29 July 2020,Yerevan,https://staff.am/en/marketing-specialist-218
56,ASIC Physical Design Engineer/ 25774,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/asic-physical-design-engineer-25774
57,IT Project Manager,Cypress,26 July 2020,Yerevan,https://staff.am/en/it-project-manager-89
58,Senior ASIC Physical Design Engineer/ 25762BR,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/senior-asic-physical-design-engineer-25762br
59,Senior QA Engineer,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/senior-qa-engineer-163
60,Senior R&D Engineer/25405,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/senior-rd-engineer25405
61,ASIC Physical Design Engineer/ 25773,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/asic-physical-design-engineer-25773
62,ASIC Physical Design Engineer/25778,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/asic-physical-design-engineer25778
63,Senior Analog Design Engineer/ 25717BR,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/senior-analog-design-engineer-25717br
64,Analog Design Engineer/25799 ,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/analog-design-engineer25799
65,Scrum Master - SpringBuilder,SoftConstruct,28 July 2020,Yerevan,https://staff.am/en/scrum-master-springbuilder
66,Sales manager,ANITEX LLC,27 July 2020,Yerevan,https://staff.am/en/sales-manager-413
67, Medical Equipment Representative,Concern-Energomash CJSC,17 July 2020,Yerevan,https://staff.am/en/medical-equipment-representative
68,Chief Accountant,Softline Armenia,26 July 2020,Yerevan,https://staff.am/en/chief-accountant-83
69,Software Engineer (m/f/d),PubNative GmbH,26 July 2020,Yerevan,https://staff.am/en/software-engineer-mfd
70,Sales Solution Infrastructure,Softline Armenia,26 July 2020,Yerevan,https://staff.am/en/sales-solution-infrastructure-4
71,Online Store Manager,Softline Armenia,26 July 2020,Yerevan,https://staff.am/en/online-store-manager
72,Վճարումների խորհրդատու,Easy Pay LLC,26 July 2020,Yerevan,https://staff.am/en/vcarumneri-xorhrdatu-2
73,Accountant-cashier,Concern-Energomash CJSC,26 July 2020,Yerevan,https://staff.am/en/accountant-cashier-3
74,HR specialist,SoftConstruct,10 July 2020,Yerevan,https://staff.am/en/hr-specialist-105
75,IT Project Manager,Digitec Innovations LLC,26 July 2020,Yerevan,https://staff.am/en/it-project-manager-86
76,Backend Developer,Digitec Innovations LLC,26 July 2020,Yerevan,https://staff.am/en/backend-developer-34
77,Հաշվետար,Էյ Էմ Գրուպ ՍՊԸ,26 July 2020,Yerevan,https://staff.am/en/hasvetar-54
78,Product Owner,SoftConstruct,26 July 2020,Yerevan,https://staff.am/en/product-owner-137
79,Executive Assistant,Partner Company,26 July 2020,Yerevan,https://staff.am/en/executive-assistant-87
80,Accountant,SoftConstruct,10 July 2020,Yerevan,https://staff.am/en/accountant-467
81,Junior Risk Analyst (mixed shifts),SoftConstruct,15 July 2020,Yerevan,https://staff.am/en/junior-risk-analyst-night-shifts-6
82,Technical Project Manager ,IYC technologies,26 July 2020,Yerevan,https://staff.am/en/technical-project-manager-26
83,Վաճառքի մենեջեր,Բերդ Կաթնամթերք,10 July 2020,Yerevan,https://staff.am/en/vacarki-menejer-125
84,Պանրի տեխնոլոգ,Բերդ Կաթնամթերք,10 July 2020,Chambarak,https://staff.am/en/panri-texnolog
85,Senior PHP / Laravel Developer,Innorise Entertainment LLC,26 July 2020,Yerevan,https://staff.am/en/senior-php-laravel-developer-6
86,Content Moderator,All.me LLC,09 July 2020,Yerevan,https://staff.am/en/content-moderator-18
87,Internal Auditor,SEF International UCO ,10 July 2020,Yerevan,https://staff.am/en/internal-auditor-40
88,Senior Java Software Engineer,MentorcliQ,26 July 2020,Yerevan,https://staff.am/en/senior-java-software-engineer-73
89,Senior Internal Auditor ,SEF International UCO ,10 July 2020,Yerevan,https://staff.am/en/senior-internal-auditor-11
90,Գործընկերների ներգրավման մասնագետ,SEF International UCO ,10 July 2020,Yerevan,https://staff.am/en/gorcnkerneri-nergravman-masnaget-9
91,Senior Backend (node.js) Developer,Priotix,26 July 2020,Yerevan,https://staff.am/en/senior-backend-nodejs-developer-4
92,Ժամկետանցի կառավարման բաժնի ղեկավար,SEF International UCO ,10 July 2020,Yerevan,https://staff.am/en/zamketanci-karavarman-bazni-gekavar-7
93,Senior Software Development Engineer in Test,Workfront Armenia,26 July 2020,Yerevan,https://staff.am/en/senior-software-development-engineer-in-test
94,Հյուրընկալ,Fora Premium,26 July 2020,Yerevan,https://staff.am/en/hyurnkal-3
95,Graphic designer,AraratBank OJSC,20 July 2020,Yerevan,https://staff.am/en/graphic-desinger
96,Ավագ գանձապահ «Վանաձոր» մասնաճյուղում,Fast Credit Capital UCO CJSC,26 July 2020,Vanadzor,https://staff.am/en/ganjapah-36-3
97,Graphic Designer ,Sygnoos ,26 July 2020,Yerevan,https://staff.am/en/graphic-designer-370
98,Senior Software Developer,LSOFT LTD,25 July 2020,Yerevan,https://staff.am/en/senior-software-developer-27
99,SMM Specialist,SoftConstruct,10 July 2020,Yerevan,https://staff.am/en/smm-specialist-330
100,UI/UX designer,All.me LLC,08 July 2020,Yerevan,https://staff.am/en/uiux-designer-398
101,Financial Reporting and Media Planning Unit Manager,Digitain ,18 July 2020,Yerevan,https://staff.am/en/financial-reporting-and-media-planning-unit-manager
102,Sales Manager,Bplan LLC,25 July 2020,Yerevan,https://staff.am/en/sales-manager-410
103,Call Center Agent,Armada Armenia,25 July 2020,Yerevan,https://staff.am/en/call-center-agent-4
104,Java Software Engineer,Essential,25 July 2020,Yerevan,https://staff.am/en/java-software-engineer-1
105,Software Developer,American University of Armenia Fund,16 July 2020,Yerevan,https://staff.am/en/software-developer-77
106,Associate Consultant,Գրանթ Թորնթոն ՓԲԸ,20 July 2020,Yerevan,https://staff.am/en/associate-consultant-4
107,Consultant,Գրանթ Թորնթոն ՓԲԸ,20 July 2020,Yerevan,https://staff.am/en/consultant-12
108,«Բանկային և ապահովագրական ոլորտի մասնագիտություններ» առարկայի դասախոս,Հայաստանում ֆրանսիական համալսարան/ French University in Armenia (UFAR),15 July 2020,Yerevan,https://staff.am/en/bankayin-ev-apahovagrakan-olorti-masnagitutyunner-ararkayi-dasaxos
109,Ինֆորմատիկա և կիրառական մաթեմատիկա ֆակուլտետի դասախոս,Հայաստանում ֆրանսիական համալսարան/ French University in Armenia (UFAR),15 July 2020,Yerevan,https://staff.am/en/informatika-ev-kirarakan-matematika-fakulteti-dasaxos
110,Digital Marketing Specialist,Art Lunch,25 July 2020,Yerevan,https://staff.am/en/digital-marketing-specialist-213
111,Sr. Product Manager - Sales Tech,ServiceTitan,25 July 2020,Yerevan,https://staff.am/en/sr-product-manager-sales-tech
112,Product Manager - Inventory,ServiceTitan,25 July 2020,Yerevan,https://staff.am/en/product-manager-inventory
113,Product Manager - Accounting,ServiceTitan,25 July 2020,Yerevan,https://staff.am/en/product-manager-accounting
114,Mid Angular Developer,Devolon Armenia,25 July 2020,Yerevan,https://staff.am/en/mid-angular-developer
115,UI/UX Designer,Haypost CJSC,25 July 2020,Yerevan,https://staff.am/en/uiux-designer-395
116,Motion designer/Video Editor Freelance/Videographer,IFCMARKETS.CORP.,02 July 2020,Yerevan,https://staff.am/en/motion-designervideo-editor-freelancevideographer-1
117,Logistics Manager,Globbing,24 July 2020,Yerevan,https://staff.am/en/logistics-manager-36
118,Call Center Specialist (evening and night shift),ID Bank CJSC,10 July 2020,Yerevan,https://staff.am/en/call-center-specialist-evening-and-night-shift-1
119,Live Dealer (English or Spanish),SoftConstruct,24 July 2020,Yerevan,https://staff.am/en/live-dealer-english-or-spanish-1
120,Purchasing and Business Department Manager,Globbing,24 July 2020,Yerevan,https://staff.am/en/purchasing-and-business-department-manager-7
121,Հեռախոսազանգերի կենտրոնի Տեղեկատվական խմբի ղեկավար,ID Bank CJSC,10 July 2020,Yerevan,https://staff.am/en/heraxosazangeri-kentroni-tegekatvakan-xmbi-gekavar-1
122,Product Manager,Webb Fontaine Holding LLC,24 July 2020,Yerevan,https://staff.am/en/product-manager-155
123,Mid/PHP developer,Taxi Armenia LLC,24 July 2020,Yerevan,https://staff.am/en/midphp-developer
124,Node.js Developer,All.me LLC,02 July 2020,Yerevan,https://staff.am/en/nodejs-developer-77
125,Շուկայի զարգացման պատասխանատու,ՇԻՆԱՐԱՐԱԿԱՆ ՍՊԸ,24 July 2020,Yerevan,https://staff.am/en/sukayi-zargacman-patasxanatu-30
126,Data analyst,buymie,24 July 2020,Yerevan,https://staff.am/en/data-analyst-53
127, Sales and Service Specialist ,Ucom CJSC,15 July 2020,Yerevan,https://staff.am/en/sales-and-service-specialist-37
128,Ինժեներ,Mikshin,24 July 2020,Yerevan,https://staff.am/en/inzener-28
129,National Programme Policy Officer (School Meals Programme Implementation),UNITED NATIONS WORLD FOOD PROGRAMME - ARMENIA,08 July 2020,Yerevan,https://staff.am/en/national-programme-policy-officer-school-meals-programme-implementation
130,թվային գունավոր տպագրության սարքավորման օպերատոր/մասնագետ,"""LIMUSH"" Printing House",24 July 2020,Yerevan,https://staff.am/en/tvayin-gunavor-tpagrutyan-sarkavorman-operatormasnaget
131,Աշխղեկ,Mikshin,24 July 2020,Yerevan,https://staff.am/en/asxgek-2
132,.Net Developer (full stack),Praemium RA LLC,24 July 2020,Yerevan,https://staff.am/en/net-developer-full-stack-30
133,Graphic Designer ,Haypost CJSC,24 July 2020,Yerevan,https://staff.am/en/graphic-designer-366
134,C# Developer,PicsArt,30 June 2020,Yerevan,https://staff.am/en/mid-level-c-developer
135,Security Officer,Inecobank CJCS,24 July 2020,Yerevan,https://staff.am/en/security-officer-19
136,Accountant and Financial Controller,VG LLC,20 July 2020,Yerevan,https://staff.am/en/accountant-464
137,Sales/service management,Հայաստանի ֆուտբոլի ֆեդերացիա,24 July 2020,Yerevan,https://staff.am/en/salesservice-management
138,Linux Systems Administrator,IFCMARKETS.CORP.,02 July 2020,Yerevan,https://staff.am/en/linux-systems-administrator-12
139,Human Rights Expert,UNDP Armenia Office,04 July 2020,Yerevan,https://staff.am/en/human-rights-expert
140,Customer Support Representative ,Տուն Սերվիս ՍՊԸ,24 July 2020,Yerevan,https://staff.am/en/customer-support-representative-26
141,Unity Developer,SoftConstruct,24 July 2020,Yerevan,https://staff.am/en/unity-developer-29
142,Մատակարար,ՍԻԷԼԷՅ ,24 July 2020,Yerevan,https://staff.am/en/matakarar-12
143,Targeted Marketing Junior Specialist,Digitain ,24 July 2020,Yerevan,https://staff.am/en/targeted-marketing-junior-specialist
144,Accountant Intern,Assets CJSC,24 July 2020,Yerevan,https://staff.am/en/accountant-intern
145,QA Engineer,SoftConstruct,24 July 2020,Yerevan,https://staff.am/en/qa-engineer-506
146,Payment Specialist,Digitain ,24 July 2020,Yerevan,https://staff.am/en/payment-specialist-10
147,Որակի վերահսկիչ,Atenk Ltd,16 July 2020,Yerevan,https://staff.am/en/oraki-verahskic-12
148,Մեխանիկ,Atenk Ltd,15 July 2020,Yerevan,https://staff.am/en/mexanik-36
149,Technologist ,Atenk Ltd,08 July 2020,Yerevan,https://staff.am/en/technologist-8
150,Mid Level Java Developer,AOByte,24 July 2020,Yerevan,https://staff.am/en/mid-level-java-developer-24
151,Seroond Schools Assistant Instructional Designer,Teach For Armenia,08 July 2020,Ijevan,https://staff.am/en/seroond-schools-assistant-instructional-designer
152,Senior Customer Support Representative,DISQO,23 July 2020,Yerevan,https://staff.am/en/senior-customer-support-representative
153,Senior Java Engineer,DISQO,23 July 2020,Yerevan,https://staff.am/en/senior-java-engineer-6
154,Survey Programmer,DISQO,23 July 2020,Yerevan,https://staff.am/en/survey-programmer
155,Junior Full Stack Web Engineer (m/f/d) Remote Management,TeamViewer Armenia,23 July 2020,Yerevan,https://staff.am/en/junior-full-stack-web-engineer-mfd-remote-management-1
156,Խնդրահարույց ակտիվների հետ աշխատանքի ստորաբաժանման աշխատակից,ԿՐԵԴՈ ՖԻՆԱՆՍ ՈՒՎԿ ՓԲԸ,23 July 2020,Yerevan,https://staff.am/en/xndraharuyc-aktivneri-het-asxatanki-storabazanman-asxatakic
157,(Senior) Software Engineer (m/f/d) with focus on Security,TeamViewer Armenia,23 July 2020,Yerevan,https://staff.am/en/senior-software-engineer-mfd-with-focus-on-security-9
158,Վաճառքի մասնագետ,Autofan,23 July 2020,Yerevan,https://staff.am/en/vacarki-masnaget-48
159,Full Stack Web Developer,WIC WorldCom International ,23 July 2020,Yerevan,https://staff.am/en/full-stack-web-developer-92
160,IT Project Manager (Programmer),Partner Company,23 July 2020,Yerevan,https://staff.am/en/it-project-manager-83
161,Accountant,Epiroc Armenia LLC,01 July 2020,Yerevan,https://staff.am/en/accountant-461
162,Technical Content Developer,National Instruments AM LLC,23 July 2020,Yerevan,https://staff.am/en/content-developer-4
163,Marketing Specialist,Synergy International Systems,23 July 2020,Yerevan,https://staff.am/en/marketing-specialist-215
164,Senior .NET Developer,BlueNet,23 July 2020,Yerevan,https://staff.am/en/senior-net-developer-159
165,Head of Marketing Department,ԶՈԼՈՏՈԵ ՊՈԼԵ ՍՊԸ,23 July 2020,Yerevan,https://staff.am/en/head-of-marketing-department-21
166,Web Backend Developer,Codics Software Producers,14 July 2020,Yerevan,https://staff.am/en/web-backend-developer-14
167,Web Frontend Developer,Codics Software Producers,14 July 2020,Yerevan,https://staff.am/en/web-frontend-developer-11
168,Լոգիստ-մենեջեր,Ֆասթ ՍՊԸ,23 July 2020,Yerevan,https://staff.am/en/logist-menejer-37
169,Supply specialist,Greenhouse Engineering LLC,23 July 2020,Yerevan,https://staff.am/en/supply-specialist-3
170,Graphic Designer,SoftConstruct,23 July 2020,Yerevan,https://staff.am/en/illustrator-30
171,Payments Expert,DataArt Armenia,23 July  2020,Yerevan,https://staff.am/en/payments-expert
172,Customer Support Specialist - English language,TT soft,23 July 2020,Yerevan,https://staff.am/en/customer-support-specialist-english-language-1
173,Debt Collection Specialist,Գուդկրեդիտ ՈւՎԿ ՓԲԸ,23 July 2020,Yerevan,https://staff.am/en/debt-collection-specialist-12
174,Info Consultant,Evocabank,13 July 2020,Vanadzor,https://staff.am/en/info-consultant-3
175,Relationship Manager,Exinity Group,23 July 2020,Yerevan,https://staff.am/en/relationship-manager-5
176,Head of Customer Service / Armenia,Exinity Group,23 July 2020,Yerevan,https://staff.am/en/head-of-customer-service-armenia
177,IT Security Engineer,SoftConstruct,22 July 2020,Yerevan,https://staff.am/en/it-security-engineer-6
178,Talent Acquisition Specialist,Evolution Gaming,05 July 2020,Yerevan,https://staff.am/en/talent-acquisition-specialist-16
179,SME Business Product Planning and Management Team Specialist,ACBA-CREDIT AGRICOLE BANK CJSC,23 July 2020,Yerevan,https://staff.am/en/sme-business-product-planning-and-management-team-specialist
180,Information security compliance officer,Digitain ,23 July 2020,Yerevan,https://staff.am/en/information-security-compliance-officer-1
181,Information security officer,Digitain ,23 July 2020,Yerevan,https://staff.am/en/information-security-officer-15
182,iOS developer,Telcell CJSC,20 July 2020,Yerevan,https://staff.am/en/ios-developer-226
183,Android developer,Telcell CJSC,20 July 2020,Yerevan,https://staff.am/en/android-developer-246
184,UI/UX Designer,MentorcliQ,22 July 2020,Yerevan,https://staff.am/en/uiux-designer-368
185,C++ Engineer,PicsArt,30  June 2020,Yerevan,https://staff.am/en/c-engineer-4
186,QA Engineer,IndexBoard,22 July 2020,Yerevan,https://staff.am/en/qa-engineer-503
187,Sales manager,Telecom,22 July 2020,Yerevan,https://staff.am/en/sales-manager-408
188,QA Engineer,Digitain ,06 July 2020,Yerevan,https://staff.am/en/qa-engineer-500
189,SME Department of the Ministry of Economy is looking for an expert,ՀՀ Էկոնոմիկայի նախարարություն,30 June 2020,Yerevan,https://staff.am/en/sme-department-of-the-ministry-of-economy-is-looking-for-an-expert
190,Քիմիկ,Սերտիֆիկացման միջազգային կենտրոն ՍՊԸ,22 July 2020,Yerevan,https://staff.am/en/kimik
191,Security and fire systems specialist,Locator CJSC,22 July 2020,Yerevan,https://staff.am/en/security-and-fire-systems-specialist-1
192,Internal monitoring specialist,Easy Pay LLC,22 July 2020,Yerevan,https://staff.am/en/internal-monitoring-specialist
193,Project Manager,Codics Software Producers,10 July 2020,Yerevan,https://staff.am/en/project-manager-262
194,Full Stack .Net Developer,Margasoft Corp,22 July 2020,Yerevan,https://staff.am/en/full-stack-net-developer-20
195,Quality Assurance and Testing Specialist,ID Bank CJSC,12 July 2020,Yerevan,https://staff.am/en/quality-assurance-and-testing-specialist
196,Internal Audit Specialist,SoftConstruct,06 July 2020,Yerevan,https://staff.am/en/internal-audit-specialist-34
197,Senior Sitecore Developer,DataArt Armenia,22 July 2020,Yerevan,https://staff.am/en/senior-sitecore-developer
198,"Embedded Software Engineer, Communications Services",DataArt Armenia,22 July 2020,Yerevan,https://staff.am/en/embedded-software-engineer-communications-services
199,Senior Programmer,ACRA CREDIT REPORTING CJSC,06 July 2020,Yerevan,https://staff.am/en/senior-programmer-2
200,Video Surveillance Specialist (mixed shifts),SoftConstruct,30 June 2020,Yerevan,https://staff.am/en/video-surveillance-specialist-mixed-shifts-6
201,Senior PHP Software Engineer,MentorcliQ,22 July 2020,Yerevan,https://staff.am/en/senior-php-software-engineer-4
202,QA Engineer,ACRA CREDIT REPORTING CJSC,06 July 2020,Yerevan,https://staff.am/en/qa-engineer-499
203,Պրեսելլեր,Derjava,22 July 2020,Yerevan,https://staff.am/en/preseller-67
204,Data Engineer,Webb Fontaine Holding LLC,22 July 2020,Yerevan,https://staff.am/en/data-engineer-51
205,Senior QA engineer,RedKiteLLC,22 July 2020,Yerevan,https://staff.am/en/senior-qa-engineer-160
206,Հարկային հաշվառման խմբի ղեկավար,Veolia Armenia,20 July 2020,Yerevan,https://staff.am/en/harkayin-hasvarman-xmbi-gekavar
207,Intern,Vardanyan & Partners,22 July 2020,Yerevan,https://staff.am/en/intern-28
208,Online Sales & Delivery Specialist,LEVI'S,10 July 2020,Yerevan,https://staff.am/en/online-sales-delivery-specialist
209,"Հաճախորդների սպասարկման մասնագետ, ք. Մասիս",«ՎՏԲ-Հայաստան Բանկ»,30 June 2020,Masis,https://staff.am/en/hacaxordneri-spasarkman-masnaget-k-masis
210,"Հաճախորդների սպասարկման մասնագետ, ք. Էջմիածին",«ՎՏԲ-Հայաստան Բանկ»,30 June 2020,Vagharshapat,https://staff.am/en/hacaxordneri-spasarkman-masnaget-k-ejmiacin-4
211,Content Writer / Project Writer - Internship - NATIVE LEVEL ENGLISH ,Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/content-writer-project-writer-internship-native-level-english-34
212,INTERNSHIP 6 Month: Graphic Designer,Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/internship-6-month-graphic-designer-12
213,INTERNSHIP 6 Month: UI/UX Designer,Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/internship-6-month-uiux-designer-24
214,NATIVE SPEAKER German Content Writer / German Desk - Internship,Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/native-speaker-german-content-writer-german-desk-internship-16
215,WordPress Developer (ENGLISH IS WORKING LANGUAGE),Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/wordpress-developer-english-is-working-language-31
216,NATIVE SPEAKER GERMAN Office Employee / Academical Writer,Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/native-speaker-german-office-employee-academical-writer-16
217,Content Writer / Project Writer - Internship - NATIVE LEVEL ENGLISH ,Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/content-writer-project-writer-internship-native-level-english-31
218,WordPress Plugin Developer,Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/wordpress-plugin-developer-78
219,Back-end Developer Internship (6 month),Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/back-end-developer-internship-3-6-month-58
220,Experienced Trainer for Intensive Social Media Marketing (SMM) Course / Training,Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/experienced-trainer-for-intensive-social-media-marketing-smm-course-training-16
221,Experienced Trainer for UX Design and Web Application Design (Training for Staff),Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/experienced-trainer-for-ux-design-and-web-application-design-training-for-staff-12
